url,raw_size,size,filename
https://www.alte-chemiefabrik.de/templates/hwxtemplate/js/vendor/hyphenopoly/patterns/de-de.wasm,84111,84111,d2e949d73bec8d60d419a608ea06581cf70c6d7de8e2d0725c787f5363b7abe4.wasm
https://www.woikoskifeeling.fi/media/layout/plugin/feeling/hyphenopoly/hyphenengine.wasm,652,1082,500b285d9382b892ad25219eac3c9cd495f424edaf49864cffdd0fd09edc99a6.wasm
https://wasmbyexample.dev/examples/audio/demo/rust/pkg/graphics_bg.wasm,3096,3096,8e45f85dc907235e5f9a3b357ea5d4cf7f500fa8936ca5cbf7fe27ae6cd90b77.wasm
https://js.arcgis.com/3.30/esri/geometry/support/pe-wasm.wasm,491722,2302095,e498c68085d422395870d981db33d6f07a0457927004097e26f6fb4d2f521591.wasm
https://lastmagestanding.com/Build/dc284342dcc8a701d133ce03b84baf60.wasm.br,6440471,34079011,bb6bea72cdc5dbbfcb4d996afa256f87a049a3102c0f39b2755249d408c930fe.wasm
https://geeks.com/_framework/dotnet.wasm,778014,2224725,f37ad41fd8cda414fc904d2f369cfb64f2a55c802ee3f199f2d42407c8ebb821.wasm
https://atahfacturaweb.azurewebsites.net/_framework/dotnet.wasm,1520780,2812048,f8da81220ec54cc780daad26c736de85fb84d963eb9eae77caa2ecbb8eda7db6.wasm
http://nightly.dynast.io/Build/1358c89a4c4c5a7167b741c9120dcdce.wasm.gz,13158688,62435780,d7ff1803e43fb23f97d281987280b7538b278a14a1e1152613a5e15ecb692af4.wasm
https://globekit.co/gkweb_bg.wasm,424907,424907,63b93b3370620de382850ce915dcd8ecb670ed734b98a21cea4447c81f8c9c2a.wasm
https://lastman.io/ammo.wasm.wasm,261135,705797,7afa7a590e22f761b1db3f3ba337cdf56bd94e354af01a537e2c794a96d7e412.wasm
https://user.meshare.com/assets/js/NodePlayer-full.min.wasm,398984,1157268,6661e00e1c1d269b30d913ca896a964e14a66d68e7f0a3dfd893ea56fed9b686.wasm
https://www.supermag.bg/js/productsearch/productsearch_bg.wasm,218438,218438,feabe66ee63af6a9cdc0bbc51aff0c9bb980146361e2b82612c2b27857e7dfb0.wasm
https://sogpf.com/_framework/dotnet.wasm,1101945,2812048,61760d94b78ca913c55696362920e195e2e4364df977d2afcf3c30280a227ed7.wasm
https://mi.sachsen-anhalt.de/fileadmin/Base/JS/hyphenation/hyphenEngine.wasm,1412,1412,cb649c8cd24b72c9627ca53b0d363d6456c85ef43e41b0c0416f1ff134fd7a24.wasm
https://nike.martine-rose.com/js/libs/basis/basis_transcoder.wasm,219963,440267,e7dcac729b9e38208a1382f17da3d64a3108a8390e95c912d24bd95b7bc2fb5b.wasm
https://www.novods.com/wasm/mediainfo.wasm,1264741,4868145,4d7a9369ce140df2d296f2072665a7f67873b26ad44a05e4e2bab635cc624f15.wasm
https://www.partner.gira.de/jslib/v4/Hyphenopoly-master/hyphenEngine.wasm,1082,1082,500b285d9382b892ad25219eac3c9cd495f424edaf49864cffdd0fd09edc99a6.wasm
https://pdf.online/lib/core/pdf/full/PDFNetCWasm.br.wasm,4585463,21228885,fb84f100894a1d2a484ec82d938dcfda815066235a0666fc8fb990fe546e1f75.wasm
https://www.schrack.sk/eshop/skin/frontend/schrack/default/schrackdesign/Public/Javascript/scandit/scandit-engine-sdk.wasm?v=5.7.1,4135732,4135732,d4220c15461dd4c65c155c84811b085b21b17df5febe1ad68dfdc55a66cfaa85.wasm
https://www.schrack.si/trgovina/skin/frontend/schrack/default/schrackdesign/Public/Javascript/scandit/scandit-engine-sdk.wasm?v=5.7.1,4135732,4135732,d4220c15461dd4c65c155c84811b085b21b17df5febe1ad68dfdc55a66cfaa85.wasm
https://www.pferdeklinik-bockhorn.de/wp-content/themes/pb/assets/lib/Hyphenopoly-master/hyphenEngine.wasm,1082,1082,500b285d9382b892ad25219eac3c9cd495f424edaf49864cffdd0fd09edc99a6.wasm
https://www.rheinfelden.de/assets/Basic/js/Hyphenopoly/patterns/de.wasm,84111,84111,d2e949d73bec8d60d419a608ea06581cf70c6d7de8e2d0725c787f5363b7abe4.wasm
https://www.hesse-maschinen.com/typo3conf/ext/sitepackage/Resources/Public/JavaScript/hyphenopoly/patterns/en-gb.wasm,22345,36794,6128a7303c26478cf191f6a2f92cafbed5776f4c9fbdd24406ff7d923b6d0684.wasm
https://monero.ragerx.lol/MyMoneroCoreCpp_WASM-8f4cf71fa9a7a5129a4f7bdb7aab17a8.wasm,1103463,1103463,83ae61bcf8dee26dda517a7f48b27a08da9ca67005d22365b52549deffc15bcc.wasm
https://veefriends.com/_framework/dotnet.wasm,883169,2812048,61760d94b78ca913c55696362920e195e2e4364df977d2afcf3c30280a227ed7.wasm
https://www.uniklinik-ulm.de/typo3conf/ext/as_template/Resources/Public/Vendor/hyphenopoly/patterns/de.wasm,91989,91989,ddf3116fa4ab20780d2587d4b855ba4623076241bdc3390c7f6ab36a5408bc2a.wasm
https://neustadt-und-nationalsozialismus.uni-mainz.de/hyphens/patterns/de.wasm,84192,84192,56930f49891303151ddcea2015e1a70d8b883568c45244e755ba0e4ea1a8474a.wasm
https://swo.com.ua/assets/1515ec3d/patterns/ru.wasm,29528,29528,e9684f0455c139a372702d52a2738f1e00b71e74466212f33df93c8f78fe9f46.wasm
https://www.samw.ch/.resources/samw/webresources/js/hyphenEngine.wasm,1082,1082,500b285d9382b892ad25219eac3c9cd495f424edaf49864cffdd0fd09edc99a6.wasm
https://mf.sachsen-anhalt.de/fileadmin/Base/JS/hyphenation/hyphenEngine.wasm,1412,1412,cb649c8cd24b72c9627ca53b0d363d6456c85ef43e41b0c0416f1ff134fd7a24.wasm
https://www.grenke.co.uk/webfiles/1629286089892/de/grenke/website/public/hyphenopoly/hyphenEngine.wasm,1367,1367,cef2872ef824cc87be6d658119166c0294470765927c7bfe681845cd60a09ed7.wasm
https://www.sc-service-concept.com/JSEngine/build/vendor/hyphenopoly/hyphenEngine.wasm,1351,1351,8706e90b8c54b0676744e3241489dd972c5bcae789735d204ec6a08edb94884f.wasm
